,geneid,Bima1,Kolf2,Kolf3,Kucg2,Letw5,Podx1,Qolg1,Sojd3,Wibj2,Yoch6
6,ENSG00000006210,1.898687227607925,2.51997549115659,2.9085282778845,1.2499257555794752,3.3479427991909,2.33297189517782,2.9617962213004603,0.1677522785205833,2.613081811350805,0.24025528260149498
7,ENSG00000006555,0.385562916357832,1.069779806535023,1.041863765523066,0.3598805934188435,1.147532767597525,0.3751466963722475,0.903974175241411,0.10388736336324725,1.133884484830493,0.09031805996680636
8,ENSG00000006638,0.8422620852165235,1.116696652769809,1.238587442743245,0.879195723167653,2.10013034004134,0.9663416584946145,0.971900587022693,0.190086108512979,1.7566932985227202,0.0
9,ENSG00000006659,2.720525167555655,3.09579077176236,2.190341309172775,0.105042668888705,4.227342289948265,1.761364961573915,0.101630764229292,0.0,3.852361552940645,0.07313578952645801
10,ENSG00000007312,3.0152594573272253,4.27826778643492,4.0540477433927,1.7965491279166501,5.575131442113046,2.88179884640605,2.61329244742317,0.9785574965432441,4.306214239775491,0.258059180278758
11,ENSG00000007372,0.037030784843034154,0.04092327576294235,0.0569895936418757,2.199552408203195,0.02474778369311815,0.013290116001860499,0.0854527932201339,0.166759244211797,0.04563349772162445,0.0720458418122918
12,ENSG00000008226,0.3243168906665485,0.24155959681884498,0.269611655504681,0.2635943897093205,0.3683572442887355,0.18106956990013,0.4488457415161795,0.0584566135443815,0.6617095439636405,0.0733464270540577
13,ENSG00000009709,0.09157712581837446,0.13786885299401738,0.126981662224125,13.217074073876901,0.3658933376837465,0.0806183003968812,0.173109952607351,31.207800673112047,0.159203034675591,56.37029499384556
14,ENSG00000010327,0.8717132896328165,1.3873762055870253,1.3283320885079801,0.19821973873840348,0.7882480155155885,0.6377647720537415,0.713082001996016,0.260843447429228,0.6729275802991306,0.04548839261836
15,ENSG00000010438,2.4994051923809852,2.01623534409229,3.088207364262715,0.5379438640942414,1.433738968820395,0.558692605355376,2.9299180967193204,0.0,1.0722686688102745,0.0
16,ENSG00000012223,0.7607679954278195,1.69608113359629,1.91608792785994,0.09556645166402446,1.653174534178595,0.062057546830437,0.5809105467713,0.073313298129815,1.4432603349973951,0.0
17,ENSG00000013293,0.7894866929678475,0.808278442837993,1.0639301483357348,0.39073574026894153,0.847511835118758,0.7661595918332195,1.267417168052775,0.0395303055928937,1.7766802487185251,0.12332944684291407
18,ENSG00000013588,0.4602762699779,0.343586051662434,0.5095329910103314,0.6005558959049491,0.3647047819793075,0.1820503819529705,0.49440599303368904,0.289618789410458,1.958777071557785,0.20466390561847314
19,ENSG00000015413,5.646027423448075,11.27929079071173,7.254278908549381,2.58654921719247,18.46031367339555,5.873829661103246,6.010823557896805,1.304908201136078,9.52000709590693,0.7235284042372193
20,ENSG00000018625,65.1076112958381,57.334024441017405,80.49251489311744,28.791124025837348,149.63430903741101,110.59507381432701,63.33069315481676,18.17470701987905,74.97746072228,11.423165942235698
21,ENSG00000020181,1.81566382925255,2.2996702821414647,3.0514488759229597,12.5635565776742,3.6572215276491598,1.73393803194142,1.349236038466875,26.21225325144775,2.77026439078171,19.0222514694602
22,ENSG00000022355,0.1318013809484457,0.6181043935902695,0.638617669997153,1.0779424944906695,1.001417376834369,0.4791186594855855,0.2986172651334815,0.322072237095906,0.8282804016759444,0.7221447221999906
23,ENSG00000022556,32.9749986100298,0.995729678572181,188.89528123014298,6.358858607011265,43.29848238738175,152.069422523334,141.33516613173902,3.0564678046174203,146.0069406236365,3.7355373679153967
24,ENSG00000026025,131.9170565198535,149.185007087869,221.5489518596765,118.59921148999854,309.9363068663515,91.28525960386385,243.2069071296675,33.7499150018173,155.74387565528139,32.3157305207204
25,ENSG00000041515,0.009726612576738,0.4875962401599455,0.338438271288875,0.032626620689500854,0.31377610364102704,0.079429166999544,0.219379746071945,0.10262743336612186,0.058446077782163,0.015330933587951666
26,ENSG00000047662,1.213169307183457,1.2972785564154246,0.7064257046014379,0.4682181849812685,1.2349192843781949,1.05588910417988,1.733931800082425,0.261049264412221,1.45459256318646,0.1099738686489043
27,ENSG00000053438,131.9636689961315,131.25827610542052,0.0649379108292495,374.56304035000153,197.85991670407,176.9427366640695,0.0,313.456635541326,122.3097933320685,0.0
28,ENSG00000054598,0.615587439507154,0.24780662217253052,0.6168242302537446,31.09487176556275,0.34324015330655366,0.217243092929715,0.3735971796837815,89.3843665668344,0.2631986581930965,84.9757798400856
